RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
82,"R46107","2/25/2020","FY2020 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R46107/R46107.pdf/","5","12/09/2019"
83,"IF11437","2/21/2020","Transfer of Defense Articles: Foreign Military Sales (FMS)","https://crsreports.congress.gov/product/pdf/download/IF/IF11437/IF11437.pdf/","1","02/21/2020"
84,"R42723","2/20/2020","Marine Corps Amphibious Combat Vehicle (ACV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42723/R42723.pdf/","48","09/12/2012"
85,"R43240","2/19/2020","The Army's Armored Multi-Purpose Vehicle (AMPV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43240/R43240.pdf/","32","09/24/2013"
86,"IF10542","2/18/2020","Defense Primer: Commanding U.S. Military Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10542/IF10542.pdf/","8","12/13/2016"
87,"RS22942","2/18/2020","Joint Light Tactical Vehicle (JLTV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22942/RS22942.pdf/","60","08/28/2008"
88,"R41464","2/14/2020","Conventional Prompt Global Strike and Long-Range Ballistic Missiles: Background and Issues","https://crsreports.congress.gov/product/pdf/download/R/R41464/R41464.pdf/","49","10/27/2010"
89,"IF11243","2/14/2020","Defense Primer: DOD Transfer and Reprogramming Authorities","https://crsreports.congress.gov/product/pdf/download/IF/IF11243/IF11243.pdf/","3","06/07/2019"
90,"IN11221","2/13/2020","Management of Mild Traumatic Brain Injury (mTBI) in the Military","https://crsreports.congress.gov/product/pdf/download/IN/IN11221/IN11221.pdf/","2","02/13/2020"
91,"IF11428","2/13/2020","United States Central Command","https://crsreports.congress.gov/product/pdf/download/IF/IF11428/IF11428.pdf/","1","02/13/2020"
92,"IF10599","2/7/2020","Defense Primer: Procurement","https://crsreports.congress.gov/product/pdf/download/IF/IF10599/IF10599.pdf/","5","02/10/2017"
93,"R46216","2/7/2020","The Army's Modernization Strategy: Congressional Oversight Considerations","https://crsreports.congress.gov/product/pdf/download/R/R46216/R46216.pdf/","4","02/07/2020"
94,"IF10548","2/6/2020","Defense Primer: U.S. Defense Industrial Base","https://crsreports.congress.gov/product/pdf/download/IF/IF10548/IF10548.pdf/","8","12/14/2016"
95,"IF10834","2/4/2020","Defense Primer: Under Secretary of Defense for Research and Engineering","https://crsreports.congress.gov/product/pdf/download/IF/IF10834/IF10834.pdf/","7","02/22/2018"
96,"R44384","2/3/2020","IAEA Budget and U.S. Contributions: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R44384/R44384.pdf/","5","02/18/2016"
97,"R46211","2/3/2020","National Security Space Launch","https://crsreports.congress.gov/product/pdf/download/R/R46211/R46211.pdf/","2","02/04/2020"
98,"R45306","2/3/2020","The U.S. Nuclear Weapons Complex: Overview of Department of Energy Sites","https://crsreports.congress.gov/product/pdf/download/R/R45306/R45306.pdf/","4","09/06/2018"
99,"IF10600","1/31/2020","Defense Primer: Department of Defense Contractors","https://crsreports.congress.gov/product/pdf/download/IF/IF10600/IF10600.pdf/","7","02/10/2017"
100,"IF11226","1/30/2020","Defense Primer: Acquiring Specialty Metals, Rare Earth Magnets, and Tungsten","https://crsreports.congress.gov/product/pdf/download/IF/IF11226/IF11226.pdf/","3","05/24/2019"
101,"IF10574","1/29/2020","Defense Primer: Intelligence Support to Military Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10574/IF10574.pdf/","8","12/30/2016"
102,"IF10516","1/29/2020","Defense Primer: Navigating the NDAA","https://crsreports.congress.gov/product/pdf/download/IF/IF10516/IF10516.pdf/","7","11/28/2016"
103,"IF10609","1/29/2020","Defense Primer: The Berry and Kissell Amendments","https://crsreports.congress.gov/product/pdf/download/IF/IF10609/IF10609.pdf/","7","03/01/2017"
104,"IF10523","1/29/2020","Defense Primer: Under Secretary of Defense for Intelligence and Security","https://crsreports.congress.gov/product/pdf/download/IF/IF10523/IF10523.pdf/","11","12/05/2016"
105,"R41916","1/28/2020","The U.S. Export Control System and the Export Control Reform Initiative","https://crsreports.congress.gov/product/pdf/download/R/R41916/R41916.pdf/","55","07/14/2011"
106,"IF10337","1/27/2020","Challenges to the United States in Space","https://crsreports.congress.gov/product/pdf/download/IF/IF10337/IF10337.pdf/","4","12/11/2015"
107,"IF10429","1/27/2020","Defense Primer: Planning, Programming, Budgeting and Execution (PPBE) Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10429/IF10429.pdf/","8","06/28/2016"
108,"IF10524","1/24/2020","Defense Primer: Budgeting for National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10524/IF10524.pdf/","9","12/05/2016"
109,"IF10525","1/24/2020","Defense Primer: National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10525/IF10525.pdf/","9","12/05/2016"
110,"IF10543","1/24/2020","Defense Primer: The Department of Defense","https://crsreports.congress.gov/product/pdf/download/IF/IF10543/IF10543.pdf/","5","12/13/2016"
111,"IF10547","1/21/2020","Defense Primer: The United States Air Force","https://crsreports.congress.gov/product/pdf/download/IF/IF10547/IF10547.pdf/","4","12/13/2016"
112,"IF10546","1/21/2020","Defense Primer: United States Airpower","https://crsreports.congress.gov/product/pdf/download/IF/IF10546/IF10546.pdf/","6","12/13/2016"
113,"IF11147","1/16/2020","Defense Primer: Active Duty Enlisted Recruiting ","https://crsreports.congress.gov/product/pdf/download/IF/IF11147/IF11147.pdf/","3","03/25/2019"
114,"IF11274","1/16/2020","Defense Primer: Active Duty Enlisted Retention ","https://crsreports.congress.gov/product/pdf/download/IF/IF11274/IF11274.pdf/","3","07/26/2019"
115,"IF11386","1/16/2020","Department of Defense Global Health Engagement","https://crsreports.congress.gov/product/pdf/download/IF/IF11386/IF11386.pdf/","4","12/13/2019"
116,"IN11210","1/16/2020","Possible Use of FY2020 Defense Funds for Border Barrier Construction: Context and Questions","https://crsreports.congress.gov/product/pdf/download/IN/IN11210/IN11210.pdf/","2","01/17/2020"
117,"IN11112","1/15/2020","The Kiddie Tax and Military Survivors' Benefits","https://crsreports.congress.gov/product/pdf/download/IN/IN11112/IN11112.pdf/","8","05/03/2019"
118,"IF11407","1/14/2020","Defender Europe 20 Military Exercise, Historical (REFORGER) Exercises, and U.S. Force Posture in Europe","https://crsreports.congress.gov/product/pdf/download/IF/IF11407/IF11407.pdf/","2","01/14/2020"
119,"IF10771","1/14/2020","Defense Primer: Information Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10771/IF10771.pdf/","6","11/08/2017"
120,"IF11406","1/13/2020","Iranian Offensive Cyberattack Capabilities","https://crsreports.congress.gov/product/pdf/download/IF/IF11406/IF11406.pdf/","2","01/13/2020"
121,"IF11143","1/10/2020","A Low-Yield, Submarine-Launched Nuclear Warhead: Overview of the Expert Debate","https://crsreports.congress.gov/product/pdf/download/IF/IF11143/IF11143.pdf/","3","03/21/2019"
122,"IF10349","1/10/2020","Congressionally Directed Medical Research Programs Funding for FY2020","https://crsreports.congress.gov/product/pdf/download/IF/IF10349/IF10349.pdf/","8","02/02/2016"
123,"IF10521","1/10/2020","Defense Primer: Command and Control of Nuclear Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10521/IF10521.pdf/","5","12/01/2016"
124,"IF10519","1/10/2020","Defense Primer: Strategic Nuclear Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10519/IF10519.pdf/","6","11/29/2016"
125,"IF11403","1/9/2020","The 2019-2020 Iran Crisis and U.S. Military Deployments ","https://crsreports.congress.gov/product/pdf/download/IF/IF11403/IF11403.pdf/","4","01/08/2020"
126,"IF10515","1/8/2020","Defense Primer: The NDAA Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10515/IF10515.pdf/","11","11/28/2016"
127,"IF11401","1/8/2020","FY2020 Military Construction Appropriations: An Overview of P.L. 116-94 (Division F) ","https://crsreports.congress.gov/product/pdf/download/IF/IF11401/IF11401.pdf/","3","01/08/2020"
128,"IF10260","1/6/2020","Defense Primer: Military Pay Raise","https://crsreports.congress.gov/product/pdf/download/IF/IF10260/IF10260.pdf/","18","07/17/2015"
129,"IF10540","1/6/2020","Defense Primer: Reserve Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10540/IF10540.pdf/","7","12/09/2016"
130,"IF10544","1/2/2020","Defense Primer: Department of the Army and Army Command Structure","https://crsreports.congress.gov/product/pdf/download/IF/IF10544/IF10544.pdf/","6","12/13/2016"
131,"IF10571","1/2/2020","Defense Primer: Organization of U.S. Ground Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10571/IF10571.pdf/","4","12/29/2016"
132,"IF10545","1/2/2020","Defense Primer: Special Operations Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10545/IF10545.pdf/","7","12/13/2016"
133,"R46144","1/2/2020","FY2020 National Defense Authorization Act: P.L. 116-92 (H.R. 2500, S. 1790)","https://crsreports.congress.gov/product/pdf/download/R/R46144/R46144.pdf/","4","01/02/2020"
134,"R45861","1/2/2020","Russia's Nuclear Weapons: Doctrine, Forces, and Modernization","https://crsreports.congress.gov/product/pdf/download/R/R45861/R45861.pdf/","4","08/07/2019"
135,"IF11051","1/2/2020","U.S. Withdrawal from the INF Treaty: What's Next?","https://crsreports.congress.gov/product/pdf/download/IF/IF11051/IF11051.pdf/","8","12/20/2018"
136,"IF10483","12/31/2019","Defense Primer: Military Retirement","https://crsreports.congress.gov/product/pdf/download/IF/IF10483/IF10483.pdf/","9","10/13/2016"
137,"IF11118","12/30/2019","Defense Primer: Electronic Warfare","https://crsreports.congress.gov/product/pdf/download/IF/IF11118/IF11118.pdf/","7","02/26/2019"
138,"IF10685","12/27/2019","Defense Primer: Military Officers","https://crsreports.congress.gov/product/pdf/download/IF/IF10685/IF10685.pdf/","8","07/03/2017"
139,"IF10684","12/26/2019","Defense Primer: Military Enlisted Personnel","https://crsreports.congress.gov/product/pdf/download/IF/IF10684/IF10684.pdf/","9","07/03/2017"
140,"IF10532","12/26/2019","Defense Primer: Regular Military Compensation","https://crsreports.congress.gov/product/pdf/download/IF/IF10532/IF10532.pdf/","6","12/07/2016"
141,"IF10514","12/23/2019","Defense Primer: Defense Appropriations Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10514/IF10514.pdf/","8","11/23/2016"
142,"RL34544","12/20/2019","Iran's Nuclear Program: Status","https://crsreports.congress.gov/product/pdf/download/RL/RL34544/RL34544.pdf/","55","06/25/2008"
143,"IF11105","12/19/2019","Defense Primer: Emerging Technologies","https://crsreports.congress.gov/product/pdf/download/IF/IF11105/IF11105.pdf/","5","02/12/2019"
144,"IN11207","12/19/2019","Foreign Interference in NIH Research: Policy Implications","https://crsreports.congress.gov/product/pdf/download/IN/IN11207/IN11207.pdf/","2","12/19/2019"
145,"IF10530","12/18/2019","Defense Primer: Military Health System","https://crsreports.congress.gov/product/pdf/download/IF/IF10530/IF10530.pdf/","8","12/06/2016"
146,"RS22373","12/17/2019","Navy Irregular Warfare and Counterterrorism Operations: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22373/RS22373.pdf/","126","02/06/2006"
147,"RL33741","12/17/2019","Navy Littoral Combat Ship (LCS) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33741/RL33741.pdf/","257","12/04/2006"
148,"TE10044","12/16/2019","U.S. Counterterrorism Priorities and Challenges in Africa","https://crsreports.congress.gov/product/pdf/download/TE/TE10044/TE10044.pdf/","1","12/17/2019"
149,"IF11385","12/12/2019","The Uniformed Services University of the Health Sciences ","https://crsreports.congress.gov/product/pdf/download/IF/IF11385/IF11385.pdf/","2","12/12/2019"
150,"R44710","11/26/2019","Military Construction: Authorities, Process, and Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44710/R44710.pdf/","10","12/14/2016"
151,"R45178","11/21/2019","Artificial Intelligence and National Security","https://crsreports.congress.gov/product/pdf/download/R/R45178/R45178.pdf/","7","04/26/2018"
152,"IF10954","11/19/2019","Air Force OA-X Light Attack Aircraft Program","https://crsreports.congress.gov/product/pdf/download/IF/IF10954/IF10954.pdf/","3","08/23/2018"
153,"IF11362","11/14/2019","Defense Primer: Arlington National Cemetery","https://crsreports.congress.gov/product/pdf/download/IF/IF11362/IF11362.pdf/","2","11/14/2019"
154,"R44463","11/13/2019","Air Force B-21 Raider Long-Range Strike Bomber","https://crsreports.congress.gov/product/pdf/download/R/R44463/R44463.pdf/","9","04/14/2016"
155,"IF11264","11/13/2019","DOD's Cloud Strategy and the JEDI Cloud Procurement","https://crsreports.congress.gov/product/pdf/download/IF/IF11264/IF11264.pdf/","9","07/08/2019"
156,"IF11353","11/6/2019","Defense Primer: U.S. Precision-Guided Munitions","https://crsreports.congress.gov/product/pdf/download/IF/IF11353/IF11353.pdf/","3","11/06/2019"
157,"R45987","10/28/2019","MHS Genesis: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45987/R45987.pdf/","2","10/28/2019"
